607 649 162  0.5537 1.86291530314204E-08
608 649 162  0.6731 1.38647283918378E-07
609 653 163  0.5674 1.51541366900315E-10
610 653 163  0.5891 2.71702268953857E-09
611 653 163  0.5558 2.78116072798103E-08
612 653 163  0.5578 1.93558147183647E-07
613 657 164  0.5584 2.76944319036048E-10
614 657 164  0.5962 4.33334380695007E-09
615 657 164  0.557 4.09617872005041E-08
616 657 164  0.5941 2.67157562134596E-07
617 661 165  0.6774 4.88139362605355E-10
618 661 165  0.561 6.79565033840596E-09
619 661 165  0.6294 5.95458941789415E-08
620 665 166  0.5644 2.97308924113032E-11
621 665 166  0.5656 8.35465786428447E-10
622 665 166  0.5655 1.0490597188373E-08
623 665 166  0.5756 8.54729826369558E-08
624 669 167  0.5663 6.20258245383236E-11
625 669 167  0.6905 1.39507863270082E-09
626 669 167  0.5664 1.59549859921973E-08
627 669 167  0.568 1.21194901252409E-07
628 673 168  0.5867 1.21044500724201E-10
629 673 168  0.5736 2.28029192622428E-09
630 673 168  0.5682 2.39226905806466E-08
631 673 168  0.5695 1.69818459156485E-07
632 677 169  0.572 2.24455419218799E-10
633 677 169  0.596 3.65704936521543E-09
634 677 169  0.6883 3.53818362513905E-08
635 677 169  0.5744 2.35230214505926E-07
636 681 170  0.5755 4.00090233436032E-10
637 681 170  0.587 5.76442810436162E-09
638 681 170  0.5747 5.16433299696845E-08
639 685 171  0.5956 2.2441064629354E-11
