360 389 97  0.4751 1.41797446163621E-07
361 393 98  0.3735 1.08169623829187E-10
362 393 98  0.3675 2.26901396401669E-09
363 393 98  0.3664 2.61689586306016E-08
364 393 98  0.3692 2.00425984413817E-07
365 397 99  0.3704 2.03164545373794E-10
366 397 99  0.3709 3.69459493871002E-09
367 397 99  0.3693 3.91370751550284E-08
368 397 99  0.3711 2.79948855699477E-07
369 401 100  0.3743 3.68012807821253E-10
370 401 100  0.3742 5.90815275298378E-09
371 401 100  0.3766 5.77323586201751E-08
372 401 100  0.374 3.86554885919107E-07
373 405 101  0.3774 6.46542879360537E-10
374 405 101  0.4903 9.29030478687058E-09
375 405 101  0.3758 8.40399548920997E-08
376 405 101  0.375 5.2785474047304E-07
377 409 102  0.3773 1.10647708584798E-09
378 409 102  0.4004 1.4378694613955E-08
379 409 102  0.3803 1.20775812369678E-07
380 413 103  0.3825 8.35162151982643E-11
381 413 103  0.3896 1.85070014827003E-09
382 413 103  0.3813 2.19206995149303E-08
383 413 103  0.3801 1.71429109168496E-07
384 417 104  0.3832 1.59382084868775E-10
385 417 104  0.3853 3.03282937405624E-09
386 417 104  0.3851 3.29390958894071E-08
387 417 104  0.4952 2.40422053937091E-07
388 421 105  0.3964 2.92423159920734E-10
389 421 105  0.3889 4.87837758951663E-09
390 421 105  0.3875 4.88124280589393E-08
391 421 105  0.4064 3.33287311722537E-07
392 425 106  0.3905 5.19121294376881E-10
393 425 106  0.3901 7.71297981642823E-09
394 425 106  0.39 7.13711950865167E-08
395 425 106  0.3886 4.5685910523878E-07
396 429 107  0.4155 8.96174819360039E-10
397 429 107  0.3939 1.19991446198217E-08
398 429 107  0.3923 1.03011533707453E-07
399 433 108  0.3957 6.42057832623636E-11
400 433 108  0.4031 1.51019765235345E-09
401 433 108  0.514 1.83832759853264E-08
402 433 108  0.3964 1.46826152977818E-07
403 437 109  0.3979 1.24693221742641E-10
404 437 109  0.3979 2.49122848837055E-09
405 437 109  0.4191 2.77546801128233E-08
406 437 109  0.3993 2.06753526428353E-07
407 441 110  0.4074 2.31995022212826E-10
408 441 110  0.3994 4.03123518327862E-09
409 441 110  0.4023 4.13181170246498E-08
410 441 110  0.3983 2.8774258019713E-07
411 445 111  0.4043 4.16490754053416E-10
412 445 111  0.4046 6.40894198861111E-09
413 445 111  0.5154 6.06815975775983E-08
414 445 111  0.4043 3.9593384637328E-07
415 449 112  0.407 7.25681660046317E-10
416 449 112  0.4056 1.00223933938306E-08
417 449 112  0.4064 8.79599970387289E-08
418 453 113  0.4281 4.90993892532645E-11
419 453 113  0.4109 1.23251107110157E-09
420 453 113  0.4187 1.54309158876434E-08
421 453 113  0.4086 1.25896227607318E-07
422 457 114  0.415 9.72063073740631E-11
423 457 114  0.4128 2.04711807265102E-09
424 457 114  0.4142 2.34080456269084E-08
425 457 114  0.4171 1.7799937946992E-07
426 461 115  0.5336 1.83650388077864E-10
427 461 115  0.4153 3.33296555842376E-09
428 461 115  0.4162 3.50071950579825E-08
429 461 115  0.4155 2.48698797385484E-07
430 465 116  0.4195 3.33733479781209E-10
431 465 116  0.4186 5.32871126007357E-09
432 465 116  0.4378 5.16412925038246E-08
433 465 116  0.4698 3.43514417658385E-07
434 469 117  0.4238 5.87262845859088E-10
435 469 117  0.4245 8.37702297052339E-09
436 469 117  0.4248 7.51778153240944E-08
437 473 118  0.4267 3.73164758954201E-11
438 473 118  0.549 1.00570516135967E-09
439 473 118  0.4242 1.29620038213371E-08
440 473 118  0.4235 1.08050452971173E-07
441 477 119  0.4259 7.54485799353332E-11
442 477 119  0.4281 1.68235557745923E-09
443 477 119  0.4285 1.97566870052095E-08
444 477 119  0.429 1.53386751834425E-07
445 481 120  0.4451 1.44968517467402E-10
446 481 120  0.432 2.75646023318737E-09
447 481 120  0.4299 2.96823514361645E-08
448 481 120  0.4303 2.15152368978296E-07
449 485 121  0.5509 2.66959386463445E-10
450 485 121  0.4318 4.43239352897184E-09
451 485 121  0.433 4.39808374432894E-08
452 485 121  0.4336 2.98311068486508E-07
453 489 122  0.4371 4.74783989970207E-10
454 489 122  0.4354 7.00520624048718E-09
455 489 122  0.4349 6.43016683690663E-08
456 489 122  0.4429 4.08997314997888E-07
457 493 123  0.4381 8.20243621755042E-10
458 493 123  0.4373 1.08939478155856E-08
459 493 123  0.4422 9.28045214147153E-08
460 497 124  0.4449 5.82489493310784E-11
461 497 124  0.5527 1.38239495989847E-09
462 497 124  0.4529 1.66842946618538E-08
463 497 124  0.4406 1.32277731731544E-07
464 501 125  0.4452 1.14027327427481E-10
465 501 125  0.4441 2.27985302388409E-09
466 501 125  0.4423 2.51820194370835E-08
467 501 125  0.4434 1.86272752573798E-07
468 505 126  0.4553 2.13060648037009E-10
469 505 126  0.4452 3.68765835045504E-09
470 505 126  0.4457 3.74788320249877E-08
471 505 126  0.4466 2.59254175247043E-07
472 509 127  0.5776 3.83312772558368E-10
473 509 127  0.45 5.85986984070371E-09
474 509 127  0.4608 5.50318685571489E-08
475 509 127  0.4506 3.56763096720175E-07
476 513 128  0.453 6.68454053106987E-10
477 513 128  0.4515 9.15924439345989E-09
478 513 128  0.4544 7.97579016060004E-08
479 517 129  0.4542 4.46859090574191E-11
480 517 129  0.4549 1.13546029730594E-09
481 517 129  0.4569 1.40954170856936E-08
482 517 129  0.4558 1.1414318387461E-07
483 521 130  0.5728 8.93029245726399E-11
484 521 130  0.4596 1.88539913874328E-09
485 521 130  0.4667 2.13732285860178E-08
486 521 130  0.4614 1.61368694973594E-07
487 525 131  0.4601 1.69571257654705E-10
488 525 131  0.4613 3.06817056253794E-09
489 525 131  0.4594 3.19523326310714E-08
490 525 131  0.4622 2.25450876404455E-07
491 529 132  0.4714 3.08915573274779E-10
492 529 132  0.465 4.90252843634077E-09
493 529 132  0.4667 4.711991384208E-08
